start_x, alpha, method, result_x, result_f_calls
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
70, 1.5, Expansion, [59.6094,65.9375], 16
70, 1.5, Fibonacci, 62.7734, 54
70, 1.5, Lagrange, 62.7482, 32
70, 3, Expansion, [50,68], 12
70, 3, Fibonacci, 62.4377, 58
70, 3, Lagrange, 62.7482, 56
70, 5.5, Expansion, [51.625,69.5], 10
70, 5.5, Fibonacci, 63.9763, 58
70, 5.5, Lagrange, 62.7482, 56
